modalidade,nivel,nome,series,repeticoes
musculacao,iniciante,supino reto,2,15
musculacao,iniciante,rosca direta,3,15
musculacao,iniciante,triceps pulley,2,15
musculacao,iniciante,crucifixo reto,3,15
musculacao,iniciante,elevação lateral,3,12
musculacao,iniciante,desenvolvimento com halteres,3,12
musculacao,iniciante,agachamento no smith,3,15
musculacao,iniciante,cadeira extensora,3,15
musculacao,iniciante,cadeira flexora,2,15
musculacao,iniciante,panturrilha em pé,3,12
musculacao,iniciante,abdominal supra,2,12
musculacao,iniciante,abdominal na prancha,2,12
musculacao,iniciante,encolhimento de ombros,2,12
musculacao,iniciante,glúteo com caneleira,3,15
musculacao,intermediario,supino reto,3,10
musculacao,intermediario,supino inclinado,3,10
musculacao,intermediario,rosca direta,3,12
musculacao,intermediario,rosca alternada,4,10
musculacao,intermediario,triceps banco,3,12
musculacao,intermediario,crucifixo reto,4,12
musculacao,intermediario,crucifixo inclinado,4,10
musculacao,intermediario,elevação frontal,3,12
musculacao,intermediario,desenvolvimento com halteres,3,12
musculacao,intermediario,desenvolvimento barra,4,12
musculacao,intermediario,agachamento no smith,3,10
musculacao,intermediario,agachamento livre,4,12
musculacao,intermediario,leg press,3,12
musculacao,intermediario,stiff,3,12
musculacao,intermediario,remada curvada,4,10
musculacao,intermediario,pulley frontal,4,12
musculacao,intermediario,remada baixa,4,12
musculacao,intermediario,panturrilha sentada,3,12
musculacao,intermediario,abdominal infra,3,12
musculacao,intermediario,pull-over,3,10
musculacao,intermediario,glúteo máquina,3,10
musculacao,avancado,supino declinado,5,10
musculacao,avancado,rosca martelo,5,8
musculacao,avancado,rosca alternada,4,8
musculacao,avancado,triceps testa,4,10
musculacao,avancado,levantamento terra,5,10
musculacao,avancado,remada unilateral,5,8
musculacao,avancado,pulley atrás,5,6
musculacao,avancado,abdominal oblíquo,5,6
musculacao,avancado,agachamento livre,4,8
musculacao,avancado,stiff,4,10
crossfit,iniciante,burpee,2,12
crossfit,iniciante,kettlebell swing,2,15
crossfit,iniciante,wall ball,2,12
crossfit,iniciante,box jump,3,12
crossfit,iniciante,toes to bar,3,12
crossfit,iniciante,row,3,12
crossfit,iniciante,assault bike,2,15
crossfit,iniciante,running,3,12
crossfit,iniciante,lunges,3,12
crossfit,iniciante,plank hold,3,12
crossfit,iniciante,dumbbell snatch,2,15
crossfit,iniciante,farmers carry,2,15
crossfit,intermediario,burpee,3,12
crossfit,intermediario,power clean,4,10
crossfit,intermediario,snatch,4,10
crossfit,intermediario,overhead squat,3,12
crossfit,intermediario,deadlift,4,12
crossfit,intermediario,front squat,4,12
crossfit,intermediario,push press,3,10
crossfit,intermediario,push jerk,3,12
crossfit,intermediario,split jerk,3,12
crossfit,intermediario,pull-up,4,10
crossfit,intermediario,double under,4,12
crossfit,intermediario,thruster,3,10
crossfit,intermediario,man maker,4,10
crossfit,intermediario,bear crawl,3,10
crossfit,avancado,clean,5,6
crossfit,avancado,squat clean,5,8
crossfit,avancado,chest to bar,5,8
crossfit,avancado,muscle-up,4,10
crossfit,avancado,handstand push-up,4,8
crossfit,avancado,power clean,4,8
crossfit,avancado,snatch,5,8
zumba,iniciante,salsa passo lateral,3,15
zumba,iniciante,merengue básico,3,15
zumba,iniciante,cumbia para frente,2,15
zumba,iniciante,zumba cooldown,2,12
zumba,iniciante,passo mambo,2,12
zumba,iniciante,cha-cha-cha,3,15
zumba,iniciante,step touch,3,12
zumba,iniciante,grapevine,3,12
zumba,iniciante,zumba fit balance,3,15
zumba,intermediario,reggaeton baixo,4,10
zumba,intermediario,twist,3,12
zumba,intermediario,zumba squat,4,10
zumba,intermediario,zumba cardio,4,12
zumba,intermediario,passo cruzado,4,10
zumba,intermediario,passo quatro tempos,4,10
zumba,intermediario,samba básico,3,10
zumba,intermediario,axé quadril,4,10
zumba,intermediario,rebolado lateral,3,10
zumba,intermediario,movimento circular de quadril,3,12
zumba,intermediario,batida reggaeton,4,10
zumba,intermediario,passo africano,4,12
zumba,intermediario,zumba twist,4,10
zumba,intermediario,jazz step,3,12
zumba,intermediario,zumba corrida,4,10
zumba,avancado,passo africano cruzado,5,10
zumba,avancado,zumba boxe,4,8
zumba,avancado,movimento de tronco,4,8
zumba,avancado,paso doble,4,10
zumba,avancado,power zumba,5,10
zumba,avancado,zumba burn,4,10
zumba,avancado,passo flamenco,4,8
zumba,avancado,zumba cardio,5,10
fisioterapia,iniciante,ponte pélvica,2,15
fisioterapia,iniciante,alongamento de isquiotibiais,3,15
fisioterapia,iniciante,elevação de perna,2,12
fisioterapia,iniciante,abdução de quadril,2,12
fisioterapia,iniciante,rotação externa de ombro,3,12
fisioterapia,iniciante,alongamento de lombar,3,12
fisioterapia,iniciante,caminhada em linha reta,3,12
fisioterapia,iniciante,alongamento cervical,2,12
fisioterapia,iniciante,mobilidade escapular,2,12
fisioterapia,iniciante,ativação de glúteos,3,12
fisioterapia,iniciante,alongamento peitoral,2,15
