modalidade,nivel,exercicios
musculacao,avancado,levantamento terra
zumba,iniciante,passo mambo
musculacao,iniciante,encolhimento de ombros
fisioterapia,avancado,reeducação postural
fisioterapia,avancado,deslizamento do nervo ciático
zumba,avancado,zumba cardio
crossfit,intermediario,overhead squat
zumba,avancado,zumba burn
musculacao,intermediario,supino inclinado
crossfit,intermediario,burpee
fisioterapia,intermediario,ponte pélvica
zumba,intermediario,rebolado lateral
fisioterapia,intermediario,coordenação braço-perna
fisioterapia,iniciante,alongamento peitoral
musculacao,intermediario,agachamento no smith
musculacao,avancado,agachamento livre
musculacao,iniciante,abdominal na prancha
crossfit,intermediario,thruster
fisioterapia,iniciante,mobilidade escapular
crossfit,intermediario,man maker
zumba,intermediario,zumba cardio
crossfit,intermediario,push jerk
musculacao,avancado,rosca alternada
crossfit,intermediario,pull-up
musculacao,avancado,remada unilateral
fisioterapia,iniciante,alongamento cervical
zumba,intermediario,passo quatro tempos
fisioterapia,iniciante,elevação de perna
fisioterapia,iniciante,alongamento de piriforme
zumba,intermediario,samba básico
musculacao,iniciante,panturrilha em pé
crossfit,intermediario,split jerk
musculacao,avancado,pulley atrás
fisioterapia,avancado,atividade funcional com bola
musculacao,avancado,rosca martelo
musculacao,avancado,supino declinado
zumba,avancado,power zumba
zumba,iniciante,cumbia para frente
zumba,avancado,passo africano cruzado
musculacao,avancado,triceps testa
fisioterapia,intermediario,mobilidade torácica
fisioterapia,intermediario,fortalecimento de core
fisioterapia,intermediario,transferência de peso
zumba,iniciante,step touch
musculacao,iniciante,elevação lateral
fisioterapia,intermediario,deslizamento escápulo-torácico
musculacao,iniciante,desenvolvimento com halteres
fisioterapia,intermediario,elevação de calcanhar
zumba,iniciante,zumba cooldown
musculacao,iniciante,crucifixo reto
fisioterapia,iniciante,caminhada em linha reta
crossfit,iniciante,box jump
musculacao,avancado,abdominal oblíquo
zumba,intermediario,passo cruzado
crossfit,iniciante,lunges
musculacao,iniciante,triceps pulley
crossfit,iniciante,running
fisioterapia,intermediario,movimento circular de tornozelo
musculacao,intermediario,elevação frontal
zumba,avancado,paso doble
fisioterapia,iniciante,alongamento de tríceps sural
zumba,intermediario,jazz step
zumba,iniciante,salsa passo lateral
musculacao,intermediario,leg press
crossfit,avancado,clean
fisioterapia,intermediario,agachamento assistido
zumba,iniciante,merengue básico
fisioterapia,iniciante,ponte pélvica
crossfit,avancado,muscle-up
crossfit,iniciante,toes to bar
crossfit,iniciante,burpee
zumba,intermediario,reggaeton baixo
crossfit,iniciante,kettlebell swing
crossfit,avancado,squat clean
crossfit,iniciante,plank hold
crossfit,intermediario,double under
zumba,intermediario,passo africano
crossfit,iniciante,assault bike
zumba,avancado,movimento de tronco
crossfit,iniciante,row
crossfit,avancado,handstand push-up
crossfit,avancado,chest to bar
musculacao,iniciante,rosca direta
fisioterapia,iniciante,alongamento de lombar
fisioterapia,iniciante,rotação externa de ombro
crossfit,iniciante,wall ball
musculacao,intermediario,panturrilha sentada
fisioterapia,intermediario,isometria de quadríceps
fisioterapia,intermediario,escada alternada
zumba,avancado,passo flamenco
zumba,intermediario,zumba twist
musculacao,intermediario,supino reto
crossfit,iniciante,farmers carry
zumba,iniciante,grapevine
zumba,intermediario,axé quadril
musculacao,intermediario,remada curvada
musculacao,intermediario,pull-over
fisioterapia,iniciante,movimentos oculares de coordenação
crossfit,avancado,power clean
zumba,avancado,zumba boxe
musculacao,intermediario,remada baixa
zumba,iniciante,zumba fit balance
zumba,intermediario,zumba squat
musculacao,intermediario,pulley frontal
zumba,intermediario,batida reggaeton
crossfit,avancado,snatch
fisioterapia,avancado,prancha
musculacao,intermediario,rosca direta
fisioterapia,iniciante,ativação de glúteos
fisioterapia,iniciante,abdução de quadril
crossfit,intermediario,bear crawl
crossfit,intermediario,front squat
musculacao,iniciante,agachamento no smith
fisioterapia,iniciante,alongamento de isquiotibiais
zumba,intermediario,movimento circular de quadril
musculacao,iniciante,cadeira extensora
musculacao,iniciante,cadeira flexora
zumba,intermediario,twist
musculacao,iniciante,glúteo com caneleira
musculacao,intermediario,stiff
crossfit,iniciante,dumbbell snatch
fisioterapia,intermediario,equilíbrio unilateral
crossfit,intermediario,push press
zumba,iniciante,cha-cha-cha
fisioterapia,intermediario,exercício com faixa elástica
musculacao,intermediario,rosca alternada
crossfit,intermediario,power clean
musculacao,intermediario,crucifixo inclinado
musculacao,intermediario,crucifixo reto
fisioterapia,intermediario,prancha
crossfit,intermediario,deadlift
musculacao,iniciante,abdominal supra
musculacao,intermediario,abdominal infra
zumba,intermediario,zumba corrida
crossfit,intermediario,snatch
fisioterapia,intermediario,deslizamento neural
musculacao,avancado,stiff
musculacao,intermediario,triceps banco
musculacao,iniciante,supino reto
musculacao,intermediario,glúteo máquina
